id,type,initial_frame,detection_duration,lenght
0,car,1,18,85.962890625
1,truck,1,42,325.19097900390625
2,truck,1,2,328.9130859375
3,car,3,6,96.729248046875
4,car,35,19,167.29502868652344
5,truck,48,7,355.3568420410156
6,car,71,62,161.61383056640625
7,bus,85,1,261.99267578125
8,truck,86,19,152.939453125
9,car,107,6,173.5521240234375
10,car,119,25,127.228759765625
11,truck,131,37,407.01275634765625
12,bus,132,1,143.2054443359375
13,motorcycle,158,1,60.891357421875
14,car,168,37,150.5189208984375
15,car,186,58,181.57171630859375
16,car,227,51,150.02549743652344
17,train,231,1,525.2257690429688
18,truck,239,14,212.2705078125
19,car,251,1,128.77374267578125
20,car,263,42,119.246826171875
21,car,276,3,124.885009765625
22,truck,312,10,309.371337890625
23,train,352,13,228.5509033203125
24,truck,361,3,259.19720458984375
25,truck,361,17,151.5858154296875
26,train,366,14,356.8638916015625
27,truck,397,35,334.9255065917969
28,truck,476,3,169.483642578125
29,truck,483,6,257.99366760253906
30,train,517,21,428.11492919921875
31,car,542,1,109.8876953125
32,truck,569,2,250.870849609375
33,truck,595,21,318.2310791015625
34,car,613,25,122.8101806640625
35,truck,623,12,119.703857421875
36,car,650,61,183.07275390625
37,car,672,33,155.8277587890625
38,car,715,50,133.536865234375
39,car,721,36,207.428955078125
40,car,729,25,69.2337646484375
41,truck,750,4,142.0264892578125
42,train,770,14,465.8702392578125
43,car,781,4,121.8759765625
44,car,837,45,156.713134765625
45,car,839,62,166.92970275878906
46,car,870,48,120.0576171875
47,train,885,6,448.66477966308594
48,car,918,59,118.60491943359375
49,train,953,31,400.455078125
50,car,989,62,122.92803955078125
51,bus,1024,1,266.7448425292969
52,bus,1029,41,356.56854248046875
53,truck,1054,14,252.1256103515625
54,truck,1094,1,240.98468017578125
55,car,1104,48,106.1590576171875
56,truck,1119,1,176.3433837890625
57,truck,1139,28,256.01141357421875
58,truck,1139,4,130.803955078125
59,truck,1146,1,249.717041015625
60,car,1182,12,177.43646240234375
61,train,1183,2,487.4525146484375
62,motorcycle,1187,1,63.3487548828125
63,truck,1237,32,356.264892578125
64,car,1273,72,136.714599609375
65,car,1293,50,170.20294189453125
66,train,1312,1,269.09324645996094
67,train,1329,3,251.80609130859375
68,car,1366,33,151.47984313964844
69,car,1384,4,171.46484375
70,car,1400,42,134.347900390625
71,truck,1417,14,349.3897705078125
72,car,1429,52,178.12945556640625
73,car,1439,1,103.75732421875
74,truck,1442,25,179.55682373046875
75,car,1480,77,134.517333984375
76,car,1515,55,141.8587646484375
77,car,1550,1,49.798095703125
78,truck,1559,31,249.701171875
79,car,1578,45,127.14569091796875
80,car,1620,6,130.02685546875
81,truck,1693,6,177.1099853515625
82,car,1708,1,84.21923828125
83,car,1709,52,159.14234924316406
84,car,1713,46,152.51611328125
85,car,1716,10,90.2255859375
86,truck,1721,1,113.650390625
87,car,1722,59,121.62225341796875
88,car,1748,47,149.48406982421875
89,car,1760,1,57.9776611328125
90,train,1766,7,396.3999328613281
91,car,1792,46,120.865966796875
92,truck,1821,22,210.69451904296875
93,truck,1831,2,227.159912109375
94,motorcycle,1839,16,73.44482421875
95,car,1850,55,126.129638671875
96,car,1878,24,138.0550537109375
97,train,1890,21,407.02203369140625
98,car,1916,54,144.3272705078125
99,train,1930,5,282.1329345703125
100,car,1933,53,145.970458984375
101,car,1958,2,106.99658203125
102,car,1985,38,170.34521484375
103,car,1990,53,127.67218017578125
104,truck,2031,11,147.3570556640625
105,car,2036,51,148.8250732421875
106,truck,2063,33,418.0762634277344
107,truck,2070,26,297.17230224609375
108,car,2077,6,155.4261474609375
109,car,2086,19,121.42205810546875
110,car,2087,8,151.8740234375
111,car,2123,55,141.0784912109375
112,car,2152,2,118.781005859375
113,bus,2174,4,407.05328369140625
114,car,2209,2,134.59490966796875
115,bus,2215,44,402.9308166503906
116,bus,2219,3,404.8629150390625
117,car,2242,50,171.65809631347656
118,truck,2245,15,280.46295166015625
119,car,2255,60,114.8167724609375
120,car,2265,40,148.6895751953125
121,motorcycle,2285,1,58.8255615234375
